15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 499 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0200005 , m_deltaWeight[ 0 ] = 0.0200005 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 1 ] = 0.00999928 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0650005 , m_deltaWeight[ 2 ] = 0.0350008 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.08 , m_deltaWeight[ 3 ] = 40.015 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.110001 , m_deltaWeight[ 4 ] = -39.97 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.130001 , m_deltaWeight[ 5 ] = 0.0200005 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.145001 , m_deltaWeight[ 6 ] = 0.0150003 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.165001 , m_deltaWeight[ 7 ] = 0.0199995 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.175001 , m_deltaWeight[ 8 ] = 0.0100002 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.210001 , m_deltaWeight[ 9 ] = 0.0349998 
15:26:42 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 507 
15:26:42 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0200005 , m_deltaWeight[ 0 ] = 0.0200005 
15:26:42 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 1 ] = 0.00999928 
15:26:42 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0650005 , m_deltaWeight[ 2 ] = 0.0350008 
15:26:42 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.08 , m_deltaWeight[ 3 ] = 40.015 
